filerange 100001 105000
rangestart 100001 105000

// Subtitles
100001  Last Thorn
100005  Mini floating cannon
100010  martyr fight
100015  Martyr Attack
100020  Ferryman super heavy bomber	
100025  Esperanto-class super aircraft carrier
100030  Holy Photon Pulse Turret
100035  Holy Pulser Turret
100040  Holy Ion Turret
100045  Hiiagaran super heavy anti-ship missile
100050  Enkidra's Ark
100051  An intangible entity, forged from the void. Ancient and primordial, beyond the reach of all things. If it awakens, a storm will follow.
100060  Large-scale pyrolysis ray emitter
100065  Emitting high-energy splitting rays
100070  Miniature pyrolysis ray emitter
100075  Emit pulsed splitting rays
100080  wakeman
100085  chanter
100090  Wither
100095  prayer of despair
100100  Pilgrim Saint Ion's Creations
100105  Black Claw Interceptor
100110  High-performance heavy-duty interceptor equipped with certain mysterious technologies
100115  Blackwing Heavy Gunboat
100120  Heavy gunboats with excellent survivability
100125  Withered-class battleship
100126  Main battleship with thick armor and powerful side guns
100130  Disaster-class transport ship
100131  Large transport ships that excel at performing missions in complex environments
100140  Exchange for Wither-class blueprints
100141  Decompose the Wither-class Blueprint
100150  Exchange for Cataclysmic Blueprints
100151  Decompose the Cataclysmic Blueprint
100160  Gargoyle-class guided-missile destroyer
100161  Multipurpose guided missile destroyer
100170  Final Movement
100171  Advanced creations of directed evolution
100180  Pilgrim Type 63 Engineering Vessel
100181  Pilgrims' mass-produced engineering ships
100190  Pilgrim Type 85 Refined Ship
100191  Pilgrim's mass-produced refining ship
100200  Medium-sized air defense tower
100201  medium-sized air defense platform
100210  Medium missile turret
100211  medium-sized anti-ship platform
100220  Large laser tower
100221  Large anti-flagship platform
100230  large missile tower
100231  Large anti-flagship platform
100240  Large laser tower
100241  Large anti-flagship platform
100250  8-tube anti-aircraft gun
100251  Anti-aircraft rapid-fire gun
100260  Tornado Elite Torpedo Bomber
100261  Heavy bombers with air-launched shipborne heavy torpedoes
100270  Handcart Space Fighter
100271  Light machine gun interceptor
rangeend
