filerange 120000 130000
rangestart 120000 130000

// Subtitles
120000  未整备的突袭舰
120001  未整备的激光护卫舰
120003  未整备的导弹护卫舰
120004  未整备的驱逐舰
120005  未整备的独角兽级巡洋舰
120006  未整备的尸鬼级重型突击舰
120007  未整备的业火级导弹突击舰
120008  未整备的独角兽级巡洋舰导弹型
120009  未整备的幸存者级战术驱逐舰
120010  未整备的红莲级导弹巡洋舰
120011  未整备的战列巡洋舰
120012  未整备的猎鲨级战列巡洋舰
120013  未整备的双头鲨级轻型战列舰
120014  未整备的闪光之刃战列巡洋舰
120015  未整备的图腾级轻型战列舰
120016  未整备的血刃级战列舰
120017  未整备的血刃MK2级战列舰
120018  未整备的血刃MK2级战列舰防御型
120019  未整备的圣碑级无畏舰
120020  未整备的死亡之戟重型战列舰
120021  未整备的红莲级导弹无畏舰
120022  未整备的混沌之刃级无畏舰
120023  未整备的马卡恩之怒级堡垒舰
120024  未整备的马卡恩之怒2型堡垒舰
120025  未整备的马卡恩之怒3型堡垒舰
120026  未整备的莫尔迪基安大君级摧星巨舰
120027  未整备的Excalibur胜利之剑
120028  未整备的Avalon阿瓦隆
120029  未整备的先锋级轻型航母
120030  未整备的武装航母
120031  未整备的图腾级舰队航母
120032  未整备的游骑兵级舰队航母
120033  未整备的军团骑士级航空战列舰
120034  未整备的乌兰巴托级指挥母舰
120035  未整备的马卡恩之怒堡垒舰-铁浮屠号
120036  未整备的战斗机
120037  未整备的长枪战斗机MK2
120038  未整备的导弹艇
120039  未整备的破刃级重型拦截机
120040  未整备的破刃之剑
120041  未整备的破戟之刃
120042  未整备的入侵者战斗机甲
120043  未整备的入侵者战斗机甲-脉冲炮武装
120044  未整备的轰炸机
120045  未整备的激光艇
120046  未整备的秃鹫级战术轰炸机
120047  未整备的入侵者战斗机甲-导弹武装
120048  未整备的入侵者战斗机甲-导弹武装
120049  未整备的入侵者机甲队长机型
120050  未整备的破刃级重型轰炸机
120051  未整备的旧日支配者
120052  未整备的未来永劫
120053  未整备的败亡之刃
121000  基础型突袭舰
121001  基础型激光护卫舰
121003  基础型导弹护卫舰
121004  基础型驱逐舰
121005  基础型独角兽级巡洋舰
121006  基础型尸鬼级重型突击舰
121007  基础型业火级导弹突击舰
121008  基础型独角兽级巡洋舰导弹型
121009  基础型幸存者级战术驱逐舰
121010  基础型红莲级导弹巡洋舰
121011  基础型战列巡洋舰
121012  基础型猎鲨级战列巡洋舰
121013  基础型双头鲨级轻型战列舰
121014  基础型闪光之刃战列巡洋舰
121015  基础型图腾级轻型战列舰
121016  基础型血刃级战列舰
121017  基础型血刃MK2级战列舰
121018  基础型血刃MK2级战列舰防御型
121019  基础型圣碑级无畏舰
121020  基础型死亡之戟重型战列舰
121021  基础型红莲级导弹无畏舰
121022  基础型混沌之刃级无畏舰
121023  基础型马卡恩之怒级堡垒舰
121024  基础型马卡恩之怒2型堡垒舰
121025  基础型马卡恩之怒3型堡垒舰
121026  基础型莫尔迪基安大君级摧星巨舰
121027  基础型Excalibur胜利之剑
121028  基础型Avalon阿瓦隆
121029  基础型先锋级轻型航母
121030  基础型武装航母
121031  基础型图腾级舰队航母
121032  基础型游骑兵级舰队航母
121033  基础型军团骑士级航空战列舰
121034  基础型乌兰巴托级指挥母舰
121035  基础型马卡恩之怒堡垒舰-铁浮屠号
121036  基础型战斗机
121037  基础型长枪战斗机MK2
121038  基础型导弹艇
121039  基础型破刃级重型拦截机
121040  基础型破刃之剑
121041  基础型破戟之刃
121042  基础型入侵者战斗机甲
121043  基础型入侵者战斗机甲-脉冲炮武装
121044  基础型轰炸机
121045  基础型激光艇
121046  基础型秃鹫级战术轰炸机
121047  基础型入侵者战斗机甲-导弹武装
121048  基础型入侵者战斗机甲-导弹武装
121049  基础型入侵者机甲队长机型
121050  基础型破刃级重型轰炸机
121051  基础型旧日支配者
121052  基础型未来永劫
121053  基础型败亡之刃
122000  精英型突袭舰
122001  精英型激光护卫舰
122003  精英型导弹护卫舰
122004  精英型驱逐舰
122005  精英型独角兽级巡洋舰
122006  精英型尸鬼级重型突击舰
122007  精英型业火级导弹突击舰
122008  精英型独角兽级巡洋舰导弹型
122009  精英型幸存者级战术驱逐舰
122010  精英型红莲级导弹巡洋舰
122011  精英型战列巡洋舰
122012  精英型猎鲨级战列巡洋舰
122013  精英型双头鲨级轻型战列舰
122014  精英型闪光之刃战列巡洋舰
122015  精英型图腾级轻型战列舰
122016  精英型血刃级战列舰
122017  精英型血刃MK2级战列舰
122018  精英型血刃MK2级战列舰防御型
122019  精英型圣碑级无畏舰
122020  精英型死亡之戟重型战列舰
122021  精英型红莲级导弹无畏舰
122022  精英型混沌之刃级无畏舰
122023  精英型马卡恩之怒级堡垒舰
122024  精英型马卡恩之怒2型堡垒舰
122025  精英型马卡恩之怒3型堡垒舰
122026  精英型莫尔迪基安大君级摧星巨舰
122027  精英型Excalibur胜利之剑
122028  精英型Avalon阿瓦隆
122029  精英型先锋级轻型航母
122030  精英型武装航母
122031  精英型图腾级舰队航母
122032  精英型游骑兵级舰队航母
122033  精英型军团骑士级航空战列舰
122034  精英型乌兰巴托级指挥母舰
122035  精英型马卡恩之怒堡垒舰-铁浮屠号
122036  精英型战斗机
122037  精英型长枪战斗机MK2
122038  精英型导弹艇
122039  精英型破刃级重型拦截机
122040  精英型破刃之剑
122041  精英型破戟之刃
122042  精英型入侵者战斗机甲
122043  精英型入侵者战斗机甲-脉冲炮武装
122044  精英型轰炸机
122045  精英型激光艇
122046  精英型秃鹫级战术轰炸机
122047  精英型入侵者战斗机甲-导弹武装
122048  精英型入侵者战斗机甲-导弹武装
122049  精英型入侵者机甲队长机型
122050  精英型破刃级重型轰炸机
122051  精英型旧日支配者
122052  精英型未来永劫
122053  精英型败亡之刃
123000  特装型突袭舰
123001  特装型激光护卫舰
123003  特装型导弹护卫舰
123004  特装型驱逐舰
123005  特装型独角兽级巡洋舰
123006  特装型尸鬼级重型突击舰
123007  特装型业火级导弹突击舰
123008  特装型独角兽级巡洋舰导弹型
123009  特装型幸存者级战术驱逐舰
123010  特装型红莲级导弹巡洋舰
123011  特装型战列巡洋舰
123012  特装型猎鲨级战列巡洋舰
123013  特装型双头鲨级轻型战列舰
123014  特装型闪光之刃战列巡洋舰
123015  特装型图腾级轻型战列舰
123016  特装型血刃级战列舰
123017  特装型血刃MK2级战列舰
123018  特装型血刃MK2级战列舰防御型
123019  特装型圣碑级无畏舰
123020  特装型死亡之戟重型战列舰
123021  特装型红莲级导弹无畏舰
123022  特装型混沌之刃级无畏舰
123023  特装型马卡恩之怒级堡垒舰
123024  特装型马卡恩之怒2型堡垒舰
123025  特装型马卡恩之怒3型堡垒舰
123026  特装型莫尔迪基安大君级摧星巨舰
123027  特装型Excalibur胜利之剑
123028  特装型Avalon阿瓦隆
123029  特装型先锋级轻型航母
123030  特装型武装航母
123031  特装型图腾级舰队航母
123032  特装型游骑兵级舰队航母
123033  特装型军团骑士级航空战列舰
123034  特装型乌兰巴托级指挥母舰
123035  特装型马卡恩之怒堡垒舰-铁浮屠号
123036  特装型战斗机
123037  特装型长枪战斗机MK2
123038  特装型导弹艇
123039  特装型破刃级重型拦截机
123040  特装型破刃之剑
123041  特装型破戟之刃
123042  特装型入侵者战斗机甲
123043  特装型入侵者战斗机甲-脉冲炮武装
123044  特装型轰炸机
123045  特装型激光艇
123046  特装型秃鹫级战术轰炸机
123047  特装型入侵者战斗机甲-导弹武装
123048  特装型入侵者战斗机甲-导弹武装
123049  特装型入侵者机甲队长机型
123050  特装型破刃级重型轰炸机
123051  特装型旧日支配者
